serial_number,device_model,order_number,purchase_date,assigned_org
LAB01LZYHQ0W,"Mac15,3",PO-24001,2025-02-03,lab
LAB021ZF0C7W,"Mac14,13",PO-24002,2025-03-05,lab
LAB03MYLK3WY,"Mac16,10",PO-24003,2025-04-07,lab
LAB047YWR18H,"Mac16,1",PO-24004,2025-05-09,lab
LAB05L1H8XR4,"Mac15,3",PO-24005,2025-06-11,lab
LAB06C25FJ5Z,"Mac14,13",PO-24006,2025-07-13,lab
LAB07DN5C78M,"Mac16,10",PO-24007,2025-08-15,lab
LAB08W049R36,"Mac16,1",PO-24008,2025-09-17,lab
LAB09TR46ZVH,"Mac15,3",PO-24009,2025-10-19,lab
LAB109QGDHWK,"Mac14,13",PO-24010,2025-11-21,lab
LAB11M2T518N,"Mac16,10",PO-24011,2025-12-23,lab
LAB12TX7RZQY,"Mac16,1",PO-24012,2025-01-25,lab
